,fruit_name,cate3,width,height,weight
51412,pear_chuhwang,상,9.5,9.0,465
30870,persimmon_daebong,특,8.9,9.5,370
33557,pear_chuhwang,특,10.5,8.9,515
42529,persimmon_bansi,보통,6.5,4.8,135
3420,apple_yanggwang,보통,8.9,8.4,320
16602,mandarine_hallabong,상,9.0,8.8,350
42489,persimmon_bansi,보통,6.5,5.4,140
43529,persimmon_bansi,보통,6.9,5.0,150
26838,persimmon_daebong,보통,6.6,7.6,175
4468,apple_yanggwang,상,7.7,7.5,225
36478,persimmon_bansi,특,7.7,5.0,200
41321,persimmon_daebong,상,9.4,9.2,395
46913,pear_singo,상,11.8,9.7,695
48321,pear_singo,상,11.7,10.0,715
43649,persimmon_bansi,보통,6.7,4.7,135
51065,pear_chuhwang,상,9.7,9.1,455
5956,apple_yanggwang,상,7.5,7.3,215
25750,persimmon_daebong,보통,7.2,7.5,200
46793,pear_singo,상,11.7,0.9,750
8616,mandarine_onjumilgam,상,5.8,4.5,95
14476,mandarine_onjumilgam,보통,5.4,4.1,70
45521,persimmon_booyu,특,8.4,6.3,285
12004,mandarine_hallabong,보통,8.5,8.5,280
23422,pear_singo,보통,10.2,8.7,480
42049,persimmon_bansi,보통,7.3,5.3,195
42969,persimmon_bansi,보통,6.4,5.5,135
22842,mandarine_onjumilgam,특,6.8,5.7,125
8156,apple_fuji,보통,7.9,6.6,215
15476,mandarine_onjumilgam,보통,5.3,4.5,70
36598,persimmon_bansi,특,7.3,5.1,175
26430,persimmon_daebong,보통,7.0,7.9,185
40561,persimmon_daebong,상,9.3,9.0,385
46593,pear_singo,상,11.5,10.1,735
9416,mandarine_onjumilgam,상,6.2,5.0,105
49121,pear_singo,특,12.0,10.1,740
45641,persimmon_booyu,특,8.9,6.2,270
21074,apple_yanggwang,특,8.1,8.3,265
47913,pear_singo,상,11.3,9.8,755
80,apple_fuji,상,8.8,7.2,270
40281,persimmon_daebong,상,9.6,9.5,415
50498,pear_chuhwang,상,10.0,8.8,455
21442,mandarine_onjumilgam,특,6.7,5.0,115
39129,persimmon_booyu,상,7.7,6.2,250
39249,persimmon_booyu,상,7.9,6.5,250
32518,persimmon_booyu,보통,7.6,5.6,215
44761,persimmon_booyu,특,9.1,6.3,280
28478,persimmon_bansi,상,7.3,5.3,165
14716,mandarine_onjumilgam,보통,5.3,4.6,70
45321,persimmon_booyu,특,8.2,6.2,260
2260,apple_fuji,상,8.9,7.9,300
32638,persimmon_booyu,보통,8.1,6.1,240
49361,pear_singo,특,11.3,9.8,700
46361,persimmon_booyu,특,8.4,6.3,245
31118,persimmon_daebong,특,8.6,9.3,350
10276,mandarine_hallabong,보통,8.8,8.8,305
23862,pear_singo,보통,10.2,8.8,490
24862,pear_singo,보통,10.1,8.7,495
840,apple_fuji,상,8.9,8.3,290
7276,apple_fuji,보통,7.6,7.1,215
27718,persimmon_bansi,상,7.2,5.2,185
30998,persimmon_daebong,특,8.6,8.0,320
6876,apple_fuji,보통,7.4,7.0,200
