cate1,cate2,cate3,width,weight,height,file_name,fruit_name
사과,부사,특,9,385,8.8,apple_fuji_L_19-27_2FR45.png,apple_fuji
사과,부사,특,9.5,410,9.3,apple_fuji_L_20-26_1TOP.png,apple_fuji
사과,부사,특,10.2,430,8.8,apple_fuji_L_30-37_2FR45.png,apple_fuji
사과,부사,특,9.6,385,8.9,apple_fuji_L_10-21_1TOP.png,apple_fuji
사과,부사,특,10,480,9.2,apple_fuji_L_24-4_4DI45.png,apple_fuji
사과,부사,특,9.5,410,9.3,apple_fuji_L_20-18_3FR90.png,apple_fuji
사과,부사,특,9.5,410,9.3,apple_fuji_L_20-4_4DI45.png,apple_fuji
사과,부사,특,9.8,410,8.5,apple_fuji_L_15-31_1TOP.png,apple_fuji
사과,부사,특,9.8,410,8.5,apple_fuji_L_15-7_2FR45.png,apple_fuji
사과,부사,특,9.7,390,8.7,apple_fuji_L_12-12_2FR45.png,apple_fuji
사과,부사,특,9.6,385,8.9,apple_fuji_L_10-6_1TOP.png,apple_fuji
사과,부사,특,10.2,430,8.8,apple_fuji_L_30-31_1TOP.png,apple_fuji
사과,부사,특,9.5,385,8.7,apple_fuji_L_29-1_1TOP.png,apple_fuji
사과,부사,특,9.8,415,8.8,apple_fuji_L_27-28_3FR90.png,apple_fuji
사과,부사,특,9.5,385,8.7,apple_fuji_L_29-21_1TOP.png,apple_fuji
사과,부사,특,10.2,515,9.4,apple_fuji_L_22-15_5DI90.png,apple_fuji
사과,부사,특,10.2,430,8.8,apple_fuji_L_30-28_3FR90.png,apple_fuji
사과,부사,특,9.8,415,8.8,apple_fuji_L_27-36_1TOP.png,apple_fuji
사과,부사,특,10,435,9.2,apple_fuji_L_26-24_4DI45.png,apple_fuji
사과,부사,특,10,435,9.2,apple_fuji_L_26-14_4DI45.png,apple_fuji
사과,부사,특,9.5,425,9,apple_fuji_L_16-29_4DI45.png,apple_fuji
사과,부사,특,10,480,9.2,apple_fuji_L_24-18_3FR90.png,apple_fuji
사과,부사,특,9.3,400,8.3,apple_fuji_L_3-35_5DI90.png,apple_fuji
사과,부사,특,10.2,430,8.8,apple_fuji_L_30-10_5DI90.png,apple_fuji
사과,부사,특,10.2,515,9.4,apple_fuji_L_22-4_4DI45.png,apple_fuji
사과,부사,특,9.5,385,8.7,apple_fuji_L_29-20_5DI90.png,apple_fuji
사과,부사,특,9.5,405,8.6,apple_fuji_L_18-36_1TOP.png,apple_fuji
사과,부사,특,10,435,9.5,apple_fuji_L_28-11_1TOP.png,apple_fuji
사과,부사,특,10.2,430,8.8,apple_fuji_L_30-3_3FR90.png,apple_fuji
사과,부사,특,10.2,430,8.8,apple_fuji_L_30-2_2FR45.png,apple_fuji
사과,부사,특,9.7,390,8.7,apple_fuji_L_12-24_4DI45.png,apple_fuji
사과,부사,특,9.3,395,8.8,apple_fuji_L_2-18_3FR90.png,apple_fuji
사과,부사,특,9.5,425,9,apple_fuji_L_16-38_3FR90.png,apple_fuji
사과,부사,특,9.5,410,9.3,apple_fuji_L_20-24_4DI45.png,apple_fuji
