cate1,cate2,cate3,width,weight,height,file_name,fruit_name
감,대봉,특,8.9,375,9.2,persimmon_daebong_L_30-11_1TOP.png,persimmon_daebong
감,대봉,특,9,370,9.2,persimmon_daebong_L_22-37_2FR45.png,persimmon_daebong
감,대봉,특,8.7,365,8.7,persimmon_daebong_L_27-30_5DI90.png,persimmon_daebong
감,대봉,특,8.8,320,8.3,persimmon_daebong_L_10-6_1TOP.png,persimmon_daebong
감,대봉,특,9.1,360,8.2,persimmon_daebong_L_2-26_1TOP.png,persimmon_daebong
감,대봉,특,8.8,320,8.3,persimmon_daebong_L_10-33_3FR90.png,persimmon_daebong
감,대봉,특,9,360,9.2,persimmon_daebong_L_23-10_5DI90.png,persimmon_daebong
감,대봉,특,9.5,412,9.2,persimmon_daebong_L_24-13_3FR90.png,persimmon_daebong
감,대봉,특,9.1,385,9.4,persimmon_daebong_L_21-9_4DI45.png,persimmon_daebong
감,대봉,특,8.5,315,8.5,persimmon_daebong_L_17-39_4DI45.png,persimmon_daebong
감,대봉,특,8.9,375,9.2,persimmon_daebong_L_30-4_4DI45.png,persimmon_daebong
감,대봉,특,9,360,9.2,persimmon_daebong_L_23-21_1TOP.png,persimmon_daebong
감,대봉,특,9.4,380,9,persimmon_daebong_L_28-23_3FR90.png,persimmon_daebong
감,대봉,특,8.4,330,8.5,persimmon_daebong_L_16-14_4DI45.png,persimmon_daebong
감,대봉,특,8.5,315,8.5,persimmon_daebong_L_17-30_5DI90.png,persimmon_daebong
감,대봉,특,9.5,412,9.2,persimmon_daebong_L_24-24_4DI45.png,persimmon_daebong
감,대봉,특,9.1,360,8.2,persimmon_daebong_L_2-30_5DI90.png,persimmon_daebong
감,대봉,특,8.9,365,9.3,persimmon_daebong_L_1-25_5DI90.png,persimmon_daebong
감,대봉,특,9,360,9.2,persimmon_daebong_L_23-4_4DI45.png,persimmon_daebong
감,대봉,특,8.3,315,8.8,persimmon_daebong_L_3-30_5DI90.png,persimmon_daebong
